player_id,actual_H2H_value,actual_rank_H2H
johnsja05,5.6055846422338576,11.0
flaggco01,5.176265270506108,21.0
knuepko01,4.970331588132636,25.0
queende01,4.265270506108204,40.0
edgecvj01,4.033158813263526,45.0
cowarce01,3.661431064572426,62.0
raynama01,3.331588132635253,79.0
fearsje01,3.048865619546248,95.0
willibr01,2.846422338568936,103.0
harpedy01,2.7417102966841185,108.0
baileac01,2.160558464223386,143.0
richawi01,2.082024432809773,151.0
jamessi01,1.7870855148342055,178.0
murraco01,1.6910994764397902,187.0
sandeko01,1.4904013961605584,203.0
rileywi01,1.469458987783595,204.0
smallja01,1.2251308900523563,224.0
demineg01,1.18673647469459,228.0
johnstr01,1.1867364746945896,229.0
claytwa01,1.1710296684118673,231.0
kalkbry01,0.965095986038395,247.0
wolfda01,0.9616055846422338,248.0
cliffni01,0.8691099476439791,254.0
jakucka01,0.5671902268760907,265.0
cardwdy01,0.4537521815008724,272.0
gonzahu01,0.2739965095986038,283.0
traorno01,0.2565445026178012,284.0
watkija01,0.2321116928446772,285.0
poweldr01,0.1396160558464221,289.0
coopesh01,0.0261780104712043,293.0
greenjo02,0.0087260034904015,295.0
nembhry01,-0.7417102966841188,327.0
johnsch06,-0.8848167539267016,335.0
gardnmy01,-0.947643979057592,336.0
sarafbe01,-0.9650959860383944,337.0
peavymi01,-0.9825479930191972,340.0
newelas01,-0.994764397905759,341.0
bryanca01,-1.0017452006980805,342.0
konanya01,-1.1169284467713785,347.0
pendano01,-1.1308900523560208,349.0
loveca01,-1.18848167539267,353.0
smithma01,-1.211169284467714,356.0
thompet01,-1.2478184991273995,359.0
cissemo01,-1.2862129144851655,365.0
ryanco01,-1.3228621291448517,366.0
proctty01,-1.394415357766143,368.0
maluakh01,-1.4834205933682374,373.0
berinjo01,-1.547993019197207,377.0
diawamo01,-1.5706806282722514,378.0
richaja01,-1.682373472949389,384.0
mbengbe01,-1.68760907504363,385.0
flemira01,-1.7591623036649215,390.0
hinsobl01,-1.863874345549739,397.0
mcneeli01,-2.055846422338569,406.0
mashaja01,-2.146596858638744,410.0
poulajo01,-2.181500872600349,414.0
burtoty01,-2.2268760907504364,417.0
holmeda01,-2.254799301919721,420.0
reeseju01,-2.2931937172774868,423.0
peterta01,-2.4223385689354275,428.0
balad01,-2.534031413612565,433.0
youngch01,-2.642233856893543,442.0
olbrila01,-2.6561954624781845,443.0
cryerlj01,-2.696335078534031,445.0
barnhbr01,-2.724258289703316,449.0
willilu01,-2.7609075043630016,453.0
yangha01,-2.863874345549738,457.0
richmka01,-2.9808027923211178,462.0
scotttr01,-3.136125654450262,467.0
martial01,-3.221640488656196,475.0
william01,-3.2443280977312385,477.0
garcian01,-3.3089005235602094,479.0
laniech01,-3.3403141361256545,481.0
kellymi01,-3.4345549738219896,485.0
zikarro01,-3.471204188481676,490.0
gilbeke01,-3.474694589877836,491.0
jonesda06,-3.4834205933682374,492.0
enarutr01,-3.5881326352530536,496.0
breako01,-3.630017452006981,498.0
thierad01,-3.649214659685864,501.0
jonescu01,-3.774869109947644,506.0
omierno01,-3.860383944153578,513.0
topicni01,-3.897033158813264,515.0
tonjejo01,-3.912739965095987,516.0
hayesni01,-3.9650959860383934,519.0
manonch01,-4.022687609075043,522.0
sandfpa01,-4.057591623036649,524.0
okanito01,-4.061082024432809,525.0
nelsogr01,-4.061082024432809,525.0
kentja01,-4.087260034904014,528.0
goldivl01,-4.106457242582896,529.0
cookeja01,-4.212914485165793,534.0
loverla01,-4.230366492146597,535.0
odurojo01,-4.282722513089006,537.0
antetal01,-4.30366492146597,539.0
dickihu01,-4.329842931937172,541.0
huntlcj01,-4.361256544502619,543.0
grayha01,-4.36823734729494,544.0
pedulse01,-4.3944153577661424,545.0
searsma01,-4.450261780104711,549.0
shulgma01,-4.490401396160557,550.0
moralal01,-4.607329842931936,558.0
sallihu01,-4.783595113438046,566.0
brownda01,-4.823734729493892,568.0
essenno01,-4.855148342059337,570.0
broomjo01,-4.888307155322862,571.0
hepbuch01,-4.942408376963351,572.0
telfoja01,-5.2582897033158815,573.0
